timestamp,pitch,roll,yaw,x,y,z
13076,-0.3120,-0.0940,-2.9077,-0.0928,-0.0928,-0.8679
13097,-0.3318,-0.1055,-2.9260,-0.1060,-0.1060,-0.9080
13117,-0.3511,-0.1175,-2.9433,-0.0940,-0.0940,-0.9588
13137,-0.3682,-0.1300,-2.9622,-0.0859,-0.0859,-0.9729
13157,-0.3827,-0.1432,-2.9842,-0.0898,-0.0898,-0.9258
13177,-0.3966,-0.1561,-3.0078,-0.0999,-0.0999,-0.9058
13198,-0.4106,-0.1694,-3.0282,-0.1348,-0.1348,-0.8828
13218,-0.4239,-0.1811,-3.0427,-0.1609,-0.1609,-0.8980
13238,-0.4358,-0.1898,-3.0516,-0.1799,-0.1799,-0.9138
13258,-0.4456,-0.1951,-3.0555,-0.1958,-0.1958,-0.9390
13278,-0.4525,-0.1970,-3.0560,-0.2029,-0.2029,-0.9348
13298,-0.4556,-0.1963,-3.0544,-0.2039,-0.2039,-0.9229
13319,-0.4556,-0.1943,-3.0522,-0.2009,-0.2009,-0.8870
13339,-0.4530,-0.1919,-3.0513,-0.1919,-0.1919,-0.8638
13359,-0.4493,-0.1898,-3.0518,-0.1868,-0.1868,-0.8538
13379,-0.4457,-0.1888,-3.0532,-0.1809,-0.1809,-0.8579
13399,-0.4426,-0.1886,-3.0552,-0.1799,-0.1799,-0.8628
13420,-0.4408,-0.1888,-3.0571,-0.1838,-0.1838,-0.8670
13440,-0.4393,-0.1890,-3.0583,-0.1858,-0.1858,-0.8679
13460,-0.4377,-0.1889,-3.0593,-0.1809,-0.1809,-0.8670
13480,-0.4359,-0.1889,-3.0600,-0.1748,-0.1748,-0.8709
13500,-0.4343,-0.1885,-3.0606,-0.1648,-0.1648,-0.8870
13521,-0.4318,-0.1880,-3.0610,-0.1509,-0.1509,-0.9068
13541,-0.4275,-0.1878,-3.0608,-0.1519,-0.1519,-0.9158
13561,-0.4220,-0.1870,-3.0602,-0.1638,-0.1638,-0.9168
13581,-0.4171,-0.1852,-3.0578,-0.1780,-0.1780,-0.9129
13601,-0.4124,-0.1824,-3.0543,-0.1780,-0.1780,-0.8819
13621,-0.4074,-0.1798,-3.0504,-0.1738,-0.1738,-0.8799
13642,-0.4033,-0.1777,-3.0475,-0.1768,-0.1768,-0.8719
13662,-0.4006,-0.1762,-3.0453,-0.1799,-0.1799,-0.8838
13682,-0.3991,-0.1755,-3.0442,-0.1809,-0.1809,-0.8919
13702,-0.3976,-0.1756,-3.0443,-0.1780,-0.1780,-0.8899
13722,-0.3962,-0.1760,-3.0456,-0.1738,-0.1738,-0.8919
13743,-0.3957,-0.1769,-3.0476,-0.1729,-0.1729,-0.9068
13763,-0.3958,-0.1779,-3.0500,-0.1738,-0.1738,-0.9109
13783,-0.3958,-0.1788,-3.0523,-0.1799,-0.1799,-0.9278
13803,-0.3950,-0.1796,-3.0549,-0.1838,-0.1838,-0.9229
13823,-0.3934,-0.1803,-3.0582,-0.1699,-0.1699,-0.9309
13843,-0.3911,-0.1807,-3.0620,-0.1680,-0.1680,-0.9229
13864,-0.3881,-0.1806,-3.0659,-0.1738,-0.1738,-0.9109
13884,-0.3852,-0.1808,-3.0694,-0.1670,-0.1670,-0.9058
13904,-0.3822,-0.1809,-3.0731,-0.1680,-0.1680,-0.9029
13924,-0.3795,-0.1813,-3.0765,-0.1780,-0.1780,-0.9258
13944,-0.3771,-0.1815,-3.0798,-0.1899,-0.1899,-0.9239
13965,-0.3747,-0.1819,-3.0823,-0.2039,-0.2039,-0.9439
13985,-0.3715,-0.1821,-3.0847,-0.2039,-0.2039,-0.9268
14005,-0.3678,-0.1819,-3.0880,-0.2258,-0.2258,-1.0359
14025,-0.3618,-0.1818,-3.0919,-0.2349,-0.2349,-0.8079
14045,-0.3610,-0.1811,-3.0958,-0.1260,-0.1260,-0.8198
14065,-0.3591,-0.1793,-3.0983,-0.1248,-0.1248,-0.9199
14086,-0.3603,-0.1783,-3.0995,-0.1209,-0.1209,-0.8150
14106,-0.3625,-0.1774,-3.0993,-0.1370,-0.1370,-0.8709
14126,-0.3663,-0.1782,-3.0972,-0.1448,-0.1448,-0.8418
14146,-0.3712,-0.1812,-3.0938,-0.1370,-0.1370,-0.9248
14166,-0.3756,-0.1842,-3.0904,-0.1558,-0.1558,-0.9309
14187,-0.3791,-0.1878,-3.0871,-0.2478,-0.2478,-0.8958
14207,-0.3805,-0.1934,-3.0850,-0.2449,-0.2449,-0.9229
14227,-0.3820,-0.1986,-3.0860,-0.2009,-0.2009,-0.9080
14247,-0.3827,-0.2015,-3.0874,-0.1899,-0.1899,-0.9339
14267,-0.3836,-0.2020,-3.0880,-0.1799,-0.1799,-0.8738
14287,-0.3855,-0.2020,-3.0863,-0.1899,-0.1899,-0.9038
14308,-0.3885,-0.2017,-3.0834,-0.2129,-0.2129,-0.8828
14328,-0.3911,-0.2017,-3.0810,-0.2278,-0.2278,-0.9199
14348,-0.3927,-0.2024,-3.0796,-0.2288,-0.2288,-0.9058
14368,-0.3926,-0.2039,-3.0782,-0.2058,-0.2058,-0.9439
14388,-0.3910,-0.2042,-3.0774,-0.1809,-0.1809,-0.9248
14409,-0.3890,-0.2033,-3.0763,-0.1790,-0.1790,-0.9029
14429,-0.3874,-0.2021,-3.0737,-0.1809,-0.1809,-0.8999
14449,-0.3866,-0.2009,-3.0688,-0.1758,-0.1758,-0.9339
14469,-0.3856,-0.1989,-3.0618,-0.1758,-0.1758,-0.9539
